2026-02-25 11:34:35,TcpNewReno,0.1500,141002000,141002,4.512
Timestamp,TCPVariant,ErrorRate,TotalBytes,TotalSegments,ThroughputMbps
2026-02-25 11:37:08,TcpNewRenoPlus,0.1500,141399000,141399,4.525
2026-02-25 11:37:56,TcpNewRenoPlus,0.2000,30758000,30758,0.984
2026-02-25 11:38:17,TcpNewRenoPlus,0.2500,2312000,2312,0.074
2026-02-25 11:38:32,TcpNewRenoPlus,0.3000,168000,168,0.005
