Timestamp,Scenario,BottleneckMbps,TCPVariant,ErrorRate,Segments_Flow1,Segments_Flow2,AvgUniqueSegments,AvgThroughputMbps
2026-04-07 12:34:37,single,7,TcpNewReno,0.0100,57759,0,57759,1.848
2026-04-07 12:36:41,single,7,TcpNewRenoPlus,0.0100,91669,0,91669,2.933
2026-04-07 12:37:47,single,7,TcpNewReno,0.0250,26630,0,26630,0.852
2026-04-07 12:39:08,single,7,TcpNewRenoPlus,0.0250,41395,0,41395,1.325
2026-04-07 12:39:59,single,7,TcpNewReno,0.0500,10127,0,10127,0.324
2026-04-07 12:40:52,single,7,TcpNewRenoPlus,0.0500,11901,0,11901,0.381
2026-04-07 12:41:36,single,7,TcpNewReno,0.1000,2800,0,2800,0.090
2026-04-07 12:42:20,single,7,TcpNewRenoPlus,0.1000,2042,0,2042,0.065
2026-04-07 12:43:01,single,7,TcpNewReno,0.1500,757,0,757,0.024
2026-04-07 12:43:42,single,7,TcpNewRenoPlus,0.1500,1102,0,1102,0.035
2026-04-07 12:46:05,multi,12,TcpNewReno,0.0100,56306,57828,57067,1.826
2026-04-07 12:49:32,multi,12,TcpNewRenoPlus,0.0100,92368,88380,90374,2.892
2026-04-07 12:51:00,multi,12,TcpNewReno,0.0250,25109,25194,25151,0.805
2026-04-07 12:53:00,multi,12,TcpNewRenoPlus,0.0250,42858,40298,41578,1.330
2026-04-07 12:54:01,multi,12,TcpNewReno,0.0500,9686,10066,9876,0.316
2026-04-07 12:55:06,multi,12,TcpNewRenoPlus,0.0500,10780,13581,12180,0.390
2026-04-07 12:55:52,multi,12,TcpNewReno,0.1000,2013,2408,2210,0.071
2026-04-07 12:56:42,multi,12,TcpNewRenoPlus,0.1000,2031,2472,2251,0.072
2026-04-07 12:57:24,multi,12,TcpNewReno,0.1500,307,974,640,0.020
2026-04-07 12:58:08,multi,12,TcpNewRenoPlus,0.1500,930,1024,977,0.031
