Timestamp,Scenario,BottleneckMbps,TCPVariant,ErrorRate,Segments_Flow1,Segments_Flow2,AvgUniqueSegments,AvgThroughputMbps
2026-04-07 14:22:10,single,7,TcpNewReno,0.0100,76773,0,76773,2.457
2026-04-07 14:26:44,single,7,TcpNewRenoPlus,0.0100,78276,0,78276,2.505
2026-04-07 14:31:22,single,7,TcpNewReno,0.0250,76596,0,76596,2.451
2026-04-07 14:36:13,single,7,TcpNewRenoPlus,0.0250,81382,0,81382,2.604
2026-04-07 14:40:11,single,7,TcpNewReno,0.0500,31586,0,31586,1.011
2026-04-07 14:44:01,single,7,TcpNewRenoPlus,0.0500,26768,0,26768,0.857
2026-04-07 14:44:38,single,7,TcpNewReno,0.1000,0,0,0,0.000
2026-04-07 14:56:00,single,7,TcpNewReno,0.0500,76375,0,76375,2.444
2026-04-07 15:00:44,single,7,TcpNewRenoPlus,0.0500,77895,0,77895,2.493
2026-04-07 15:08:07,multi,12,TcpNewReno,0.0500,83612,91832,87722,2.807
2026-04-07 15:14:45,multi,12,TcpNewRenoPlus,0.0500,95041,92407,93724,2.999
2026-04-07 15:22:51,single,7,TcpNewReno,0.0250,76139,0,76139,2.436
2026-04-07 15:27:28,single,7,TcpNewRenoPlus,0.0250,78842,0,78842,2.523
2026-04-07 15:34:13,multi,12,TcpNewReno,0.0250,101819,102229,102024,3.265
2026-04-07 15:41:10,multi,12,TcpNewRenoPlus,0.0250,101672,105185,103428,3.310
